Player
playerid,name,position,born,height,weight,yearspro,team
404,Paul Davis,Center,1984-7-21,6-1/ 2,11,270 lbs./122,5 kg.,1,LAC
405,Ricky Davis,Guard,1979-9-23,6-7/2,01,205 lbs./93,0  kg.,9,MIA
406,Carlos Delfino,Guard,1982-8-29,6-6/1,98,230 lbs./104,3 kg.,3,TOR
407,Luol Deng,Forward - Guard,1985-4-16,6-9/2,06,220 lbs./99,8  kg.,3,CHI
408,Boris Diaw,Forward,1982-4-16,6-8/2,03,235 lbs./106,6 kg.,4,PHX
409,Yakhouba Diawara,Guard,1982-8-29,6-7/2,01,225 lbs./102,1 kg.,1,DEN
410,Dan Dickau,Guard,1978-9-16,6-0/1,83,180 lbs./81,6  kg.,5,LAC
411,Travis Diener,Guard,1982-3-1,6-1/1,85,175 lbs./79,4  kg.,2,IND
412,Ike Diogu,Forward,1983-9-11,6-8/2,03,255 lbs./115,7 kg.,2,IND
413,DeSagana Diop,Center,1982-1-30,7-0/2,13,280 lbs./127,0 kg.,6,DAL
414,Juan Dixon,Guard,1978-10-9,6-3/1,91,165 lbs./74,8  kg.,5,TOR
415,Keyon Dooling,Guard,1980-5-8,6-3/1,91,195 lbs./88,5  kg.,7,ORL
416,Quincy Douby,Guard,1984-5-16,6-3/1,91,175 lbs./79,4  kg.,1,SAC
417,Jared Dudley,Guard - Forward,1985-7-10,6-7/2,01,225 lbs./102,1 kg.,0,CHA
418,Chris Duhon,Guard,1982-8-31,6-1/1,85,185 lbs./83,9  kg.,3,CHI
419,Tim Duncan,Forward - Center,1976-4-25,6-1/ 2,11,260 lbs./117,9 kg.,10,SAS
420,Mike Dunleavy,Forward - Guard,1980-9-15,6-9/2,06,230 lbs./104,3 kg.,5,IND
421,Ronald Dupree,Forward,1981-1-26,6-7/2,01,209 lbs./94,8  kg.,4,DET
422,Kevin Durant,Forward,1988-9-29,6-9/2,06,215 lbs./97,5  kg.,0,SEA
423,Monta Ellis,Guard,1985-10-26,6-3/1,91,177 lbs./80,3  kg.,2,GSW
424,Francisco Elson,Center,1976-2-28,7-0/2,13,235 lbs./106,6 kg.,4,SAS
425,Melvin Ely,Forward - Center,1978-5-2,6-1/ 2,08,261 lbs./118,4 kg.,5,NOH
426,Maurice Evans,Guard,1978-11-8,6-5/1,96,220 lbs./99,8  kg.,4,LAL
427,Reggie Evans,Forward,1980-5-18,6-8/2,03,245 lbs./111,1 kg.,5,PHI
428,Jordan Farmar,Guard,1986-11-30,6-2/1,88,180 lbs./81,6  kg.,1,LAL
429,Nick Fazekas,Forward,1985-6-17,6-1/ 2,11,235 lbs./106,6 kg.,0,DAL
430,Raymond Felton,Guard,1984-6-26,6-1/1,85,198 lbs./89,8  kg.,2,CHA
431,Michael Finley,Guard - Forward,1973-3-6,6-7/2,01,225 lbs./102,1 kg.,12,SAS
432,Derek Fisher,Guard,1974-8-9,6-1/1,85,210 lbs./95,3  kg.,11,LAL
433,T.J. Ford,Guard,1983-3-24,6-0/1,83,165 lbs./74,8  kg.,3,TOR
434,Jeff Foster,Center - Forward,1977-1-16,6-1/ 2,11,250 lbs./113,4 kg.,8,IND
435,Adonal Foyle,Center,1975-3-9,6-1/ 2,08,270 lbs./122,5 kg.,10,ORL
436,Channing Frye,Forward,1983-5-17,6-1/ 2,11,248 lbs./112,5 kg.,2,POR
437,Dan Gadzuric,Center,1978-2-2,6-1/ 2,11,245 lbs./111,1 kg.,5,MIL
438,Jorge Garbajosa,Forward,1977-12-19,6-9/2,06,245 lbs./111,1 kg.,1,TOR
439,Francisco Garcia,Forward - Guard,1981-12-31,6-7/2,01,195 lbs./88,5  kg.,2,SAC
440,Kevin Garnett,Forward,1976-5-19,6-1/ 2,11,220 lbs./99,8  kg.,12,BOS
441,Pat Garrity,Forward,1976-8-23,6-9/2,06,238 lbs./108,0 kg.,9,ORL
442,Pau Gasol,Forward - Center,1980-7-6,7-0/2,13,260 lbs./117,9 kg.,6,MEM
443,Rudy Gay,Guard - Forward,1986-8-17,6-8/2,03,222 lbs./100,7 kg.,1,MEM
444,Mickael Gelabale,Forward,1983-5-22,6-7/2,01,215 lbs./97,5  kg.,1,SEA
445,Daniel Gibson,Guard,1986-2-27,6-2/1,88,194 lbs./88,0  kg.,1,CLE
446,Manu Ginobili,Guard,1977-7-28,6-6/1,98,205 lbs./93,0  kg.,5,SAS
447,Gordan Giricek,Guard,1977-6-20,6-6/1,98,220 lbs./99,8  kg.,5,UTA
448,Ryan Gomes,Forward,1982-9-1,6-7/2,01,250 lbs./113,4 kg.,2,MIN
449,Drew Gooden,Forward - Center,1981-9-24,6-1/ 2,08,250 lbs./113,4 kg.,5,CLE
450,Ben Gordon,Guard,1983-4-4,6-3/1,91,200 lbs./90,7  kg.,3,CHI
451,Joey Graham,Forward,1982-6-11,6-7/2,01,225 lbs./102,1 kg.,2,TOR
452,Stephen Graham,Guard,1982-6-11,6-6/1,98,215 lbs./97,5  kg.,2,IND
453,Danny Granger,Forward,1983-4-20,6-8/2,03,228 lbs./103,4 kg.,2,IND
454,Aaron Gray,Center,1984-12-7,7-0/2,13,270 lbs./122,5 kg.,0,CHI
455,Gerald Green,Guard - Forward,1986-1-26,6-8/2,03,200 lbs./90,7  kg.,2,MIN
456,Jeff Green,Forward,1986-8-28,6-9/2,06,235 lbs./106,6 kg.,0,SEA
457,Taurean Green,Guard,1986-11-28,6-0/1,83,177 lbs./80,3  kg.,0,POR
458,Willie Green,Guard,1981-7-28,6-3/1,91,201 lbs./91,2  kg.,4,PHI
459,Orien Greene,Guard,1982-2-4,6-4/1,93,208 lbs./94,3  kg.,2,SAC
460,Richard Hamilton,Guard - Forward,1978-2-14,6-7/2,01,193 lbs./87,5  kg.,8,DET
461,Anfernee Hardaway,Guard - Forward,1971-7-18,6-7/2,01,215 lbs./97,5  kg.,13,MIA
462,Matt Harpring,Forward - Guard,1976-5-31,6-7/2,01,230 lbs./104,3 kg.,9,UTA
463,Al Harrington,Center - Forward,1980-2-17,6-9/2,06,250 lbs./113,4 kg.,9,GSW
464,Devin Harris,Guard,1983-2-27,6-3/1,91,185 lbs./83,9  kg.,3,DAL
465,David Harrison,Center,1982-8-15,7-0/2,13,280 lbs./127,0 kg.,3,IND
466,Jason Hart,Guard,1978-4-29,6-3/1,91,180 lbs./81,6  kg.,6,UTA
467,Udonis Haslem,Forward,1980-6-9,6-8/2,03,235 lbs./106,6 kg.,4,MIA
468,Trenton Hassell,Forward,1979-3-4,6-5/1,96,233 lbs./105,7 kg.,6,DAL
469,Chuck Hayes,Forward,83-6-11,6-6/1,98,238 lbs./108,0 kg.,2,HOU
470,Jarvis Hayes,Forward,1981-8-9,6-8/2,03,228 lbs./103,4 kg.,4,DET
471,Brendan Haywood,Center,1979-11-27,7-0/2,13,263 lbs./119,3 kg.,6,WAS
472,Luther Head,Guard,1982-11-26,6-3/1,91,185 lbs./83,9  kg.,2,HOU
473,Walter Herrmann,Forward,1979-6-26,6-9/2,06,225 lbs./102,1 kg.,1,CHA
474,Grant Hill,Guard - Forward,1972-10-5,6-8/2,03,225 lbs./102,1 kg.,12,PHX
475,Kirk Hinrich,Guard,1981-1-2,6-3/1,91,190 lbs./86,2  kg.,4,CHI
476,Ryan Hollins,Center,1984-10-10,7-0/2,13,230 lbs./104,3 kg.,1,CHA
477,Al Horford,Forward - Center,1986-6-3,6-1/ 2,08,245 lbs./111,1 kg.,0,ATL
478,Eddie House,Guard,1978-5-14,6-1/1,85,175 lbs./79,4  kg.,7,BOS
479,Dwight Howard,Center - Forward,1985-12-8,6-1/ 2,11,265 lbs./120,2 kg.,3,ORL
480,Josh Howard,Forward - Guard,1980-4-28,6-5/1,96,210 lbs./95,3  kg.,4,DAL
481,Juwan Howard,Forward,1973-2-7,6-9/2,06,253 lbs./114,8 kg.,13,DAL
482,Troy Hudson,Guard,1976-3-13,6-1/1,85,178 lbs./80,7  kg.,10,GSW
483,Larry Hughes,Guard,1979-1-23,6-5/1,96,185 lbs./83,9  kg.,9,CLE
484,Kris Humphries,Forward,1985-2-6,6-9/2,06,235 lbs./106,6 kg.,3,TOR
