playerid,name,position,born,height,weight,yearspro,team
412,Ike Diogu,Forward,1983-9-11,6-8/2_03,255 lbs./115_7 kg.,2,IND
413,DeSagana Diop,Center,1982-1-30,7-0/2_13,280 lbs./127_0 kg.,6,DAL
414,Juan Dixon,Guard,1978-10-9,6-3/1_91,165 lbs./74_8  kg.,5,TOR
415,Keyon Dooling,Guard,1980-5-8,6-3/1_91,195 lbs./88_5  kg.,7,ORL
416,Quincy Douby,Guard,1984-5-16,6-3/1_91,175 lbs./79_4  kg.,1,SAC
417,Jared Dudley,Guard - Forward,1985-7-10,6-7/2_01,225 lbs./102_1 kg.,0,CHA
418,Chris Duhon,Guard,1982-8-31,6-1/1_85,185 lbs./83_9  kg.,3,CHI
419,Tim Duncan,Forward - Center,1976-4-25,6-1/ 2_11,260 lbs./117_9 kg.,10,SAS
420,Mike Dunleavy,Forward - Guard,1980-9-15,6-9/2_06,230 lbs./104_3 kg.,5,IND
421,Ronald Dupree,Forward,1981-1-26,6-7/2_01,209 lbs./94_8  kg.,4,DET
422,Kevin Durant,Forward,1988-9-29,6-9/2_06,215 lbs./97_5  kg.,0,SEA
423,Monta Ellis,Guard,1985-10-26,6-3/1_91,177 lbs./80_3  kg.,2,GSW
424,Francisco Elson,Center,1976-2-28,7-0/2_13,235 lbs./106_6 kg.,4,SAS
425,Melvin Ely,Forward - Center,1978-5-2,6-1/ 2_08,261 lbs./118_4 kg.,5,NOH
426,Maurice Evans,Guard,1978-11-8,6-5/1_96,220 lbs./99_8  kg.,4,LAL
427,Reggie Evans,Forward,1980-5-18,6-8/2_03,245 lbs./111_1 kg.,5,PHI
428,Jordan Farmar,Guard,1986-11-30,6-2/1_88,180 lbs./81_6  kg.,1,LAL
429,Nick Fazekas,Forward,1985-6-17,6-1/ 2_11,235 lbs./106_6 kg.,0,DAL
430,Raymond Felton,Guard,1984-6-26,6-1/1_85,198 lbs./89_8  kg.,2,CHA
431,Michael Finley,Guard - Forward,1973-3-6,6-7/2_01,225 lbs./102_1 kg.,12,SAS
432,Derek Fisher,Guard,1974-8-9,6-1/1_85,210 lbs./95_3  kg.,11,LAL
433,T.J. Ford,Guard,1983-3-24,6-0/1_83,165 lbs./74_8  kg.,3,TOR
434,Jeff Foster,Center - Forward,1977-1-16,6-1/ 2_11,250 lbs./113_4 kg.,8,IND
435,Adonal Foyle,Center,1975-3-9,6-1/ 2_08,270 lbs./122_5 kg.,10,ORL
436,Channing Frye,Forward,1983-5-17,6-1/ 2_11,248 lbs./112_5 kg.,2,POR
437,Dan Gadzuric,Center,1978-2-2,6-1/ 2_11,245 lbs./111_1 kg.,5,MIL
438,Jorge Garbajosa,Forward,1977-12-19,6-9/2_06,245 lbs./111_1 kg.,1,TOR
439,Francisco Garcia,Forward - Guard,1981-12-31,6-7/2_01,195 lbs./88_5  kg.,2,SAC
440,Kevin Garnett,Forward,1976-5-19,6-1/ 2_11,220 lbs./99_8  kg.,12,BOS
441,Pat Garrity,Forward,1976-8-23,6-9/2_06,238 lbs./108_0 kg.,9,ORL
442,Pau Gasol,Forward - Center,1980-7-6,7-0/2_13,260 lbs./117_9 kg.,6,MEM
443,Rudy Gay,Guard - Forward,1986-8-17,6-8/2_03,222 lbs./100_7 kg.,1,MEM
444,Mickael Gelabale,Forward,1983-5-22,6-7/2_01,215 lbs./97_5  kg.,1,SEA
445,Daniel Gibson,Guard,1986-2-27,6-2/1_88,194 lbs./88_0  kg.,1,CLE
446,Manu Ginobili,Guard,1977-7-28,6-6/1_98,205 lbs./93_0  kg.,5,SAS
447,Gordan Giricek,Guard,1977-6-20,6-6/1_98,220 lbs./99_8  kg.,5,UTA
448,Ryan Gomes,Forward,1982-9-1,6-7/2_01,250 lbs./113_4 kg.,2,MIN
449,Drew Gooden,Forward - Center,1981-9-24,6-1/ 2_08,250 lbs./113_4 kg.,5,CLE
450,Ben Gordon,Guard,1983-4-4,6-3/1_91,200 lbs./90_7  kg.,3,CHI
451,Joey Graham,Forward,1982-6-11,6-7/2_01,225 lbs./102_1 kg.,2,TOR
452,Stephen Graham,Guard,1982-6-11,6-6/1_98,215 lbs./97_5  kg.,2,IND
453,Danny Granger,Forward,1983-4-20,6-8/2_03,228 lbs./103_4 kg.,2,IND
454,Aaron Gray,Center,1984-12-7,7-0/2_13,270 lbs./122_5 kg.,0,CHI
455,Gerald Green,Guard - Forward,1986-1-26,6-8/2_03,200 lbs./90_7  kg.,2,MIN
456,Jeff Green,Forward,1986-8-28,6-9/2_06,235 lbs./106_6 kg.,0,SEA
457,Taurean Green,Guard,1986-11-28,6-0/1_83,177 lbs./80_3  kg.,0,POR
458,Willie Green,Guard,1981-7-28,6-3/1_91,201 lbs./91_2  kg.,4,PHI
459,Orien Greene,Guard,1982-2-4,6-4/1_93,208 lbs./94_3  kg.,2,SAC
460,Richard Hamilton,Guard - Forward,1978-2-14,6-7/2_01,193 lbs./87_5  kg.,8,DET
461,Anfernee Hardaway,Guard - Forward,1971-7-18,6-7/2_01,215 lbs./97_5  kg.,13,MIA
462,Matt Harpring,Forward - Guard,1976-5-31,6-7/2_01,230 lbs./104_3 kg.,9,UTA
463,Al Harrington,Center - Forward,1980-2-17,6-9/2_06,250 lbs./113_4 kg.,9,GSW
464,Devin Harris,Guard,1983-2-27,6-3/1_91,185 lbs./83_9  kg.,3,DAL
465,David Harrison,Center,1982-8-15,7-0/2_13,280 lbs./127_0 kg.,3,IND
466,Jason Hart,Guard,1978-4-29,6-3/1_91,180 lbs./81_6  kg.,6,UTA
467,Udonis Haslem,Forward,1980-6-9,6-8/2_03,235 lbs./106_6 kg.,4,MIA
468,Trenton Hassell,Forward,1979-3-4,6-5/1_96,233 lbs./105_7 kg.,6,DAL
469,Chuck Hayes,Forward,83-6-11,6-6/1_98,238 lbs./108_0 kg.,2,HOU
470,Jarvis Hayes,Forward,1981-8-9,6-8/2_03,228 lbs./103_4 kg.,4,DET
471,Brendan Haywood,Center,1979-11-27,7-0/2_13,263 lbs./119_3 kg.,6,WAS
472,Luther Head,Guard,1982-11-26,6-3/1_91,185 lbs./83_9  kg.,2,HOU
473,Walter Herrmann,Forward,1979-6-26,6-9/2_06,225 lbs./102_1 kg.,1,CHA
474,Grant Hill,Guard - Forward,1972-10-5,6-8/2_03,225 lbs./102_1 kg.,12,PHX
475,Kirk Hinrich,Guard,1981-1-2,6-3/1_91,190 lbs./86_2  kg.,4,CHI
476,Ryan Hollins,Center,1984-10-10,7-0/2_13,230 lbs./104_3 kg.,1,CHA
477,Al Horford,Forward - Center,1986-6-3,6-1/ 2_08,245 lbs./111_1 kg.,0,ATL
478,Eddie House,Guard,1978-5-14,6-1/1_85,175 lbs./79_4  kg.,7,BOS
479,Dwight Howard,Center - Forward,1985-12-8,6-1/ 2_11,265 lbs./120_2 kg.,3,ORL
480,Josh Howard,Forward - Guard,1980-4-28,6-5/1_96,210 lbs./95_3  kg.,4,DAL
481,Juwan Howard,Forward,1973-2-7,6-9/2_06,253 lbs./114_8 kg.,13,DAL
482,Troy Hudson,Guard,1976-3-13,6-1/1_85,178 lbs./80_7  kg.,10,GSW
483,Larry Hughes,Guard,1979-1-23,6-5/1_96,185 lbs./83_9  kg.,9,CLE
484,Kris Humphries,Forward,1985-2-6,6-9/2_06,235 lbs./106_6 kg.,3,TOR
485,Steven Hunter,Forward,1981-10-31,7-0/2_13,240 lbs./108_9 kg.,6,DEN
486,Andre Iguodala,Forward - Guard,1984-1-28,6-6/1_98,207 lbs./93_9  kg.,3,PHI
487,Zydrunas Ilgauskas,Center,1975-6-5,7-3/2_21,260 lbs./117_9 kg.,9,CLE
488,Allen Iverson,Guard,1975-6-7,6-0/1_83,165 lbs./74_8  kg.,11,DEN
489,Royal Ivey,Guard,1981-12-20,6-4/1_93,215 lbs./97_5  kg.,3,MIL
490,Jarrett Jack,Guard,1983-10-28,6-3/1_91,197 lbs./89_4  kg.,2,POR
491,Bobby Jackson,Guard,1973-3-13,6-1/1_85,185 lbs./83_9  kg.,10,NOH
492,Casey Jacobsen,Guard - Forward,1981-3-19,6-6/1_98,215 lbs./97_5  kg.,3,MEM
493,LeBron James,Forward,1984-12-30,6-8/2_03,250 lbs./113_4 kg.,4,CLE
494,Mike James,Guard,1975-6-23,6-2/1_88,188 lbs./85_3  kg.,6,HOU
495,Antawn Jamison,Forward,1976-6-12,6-9/2_06,235 lbs./106_6 kg.,9,WAS
496,Marko Jaric,Guard,1978-10-12,6-7/2_01,224 lbs./101_6 kg.,5,MIN
497,Al Jefferson,Forward - Center,1985-1-4,6-1/ 2_08,265 lbs./120_2 kg.,3,MIN
498,Richard Jefferson,Forward,1980-6-21,6-7/2_01,225 lbs./102_1 kg.,6,NJN
499,Alexander Johnson,Forward,1983-2-8,6-9/2_06,230 lbs./104_3 kg.,1,MIA
500,Amir Johnson,Forward,1987-5-1,6-9/2_06,210 lbs./95_3  kg.,2,DET
501,Anthony Johnson,Guard,1974-10-2,6-3/1_91,195 lbs./88_5  kg.,10,ATL
502,Joe Johnson,Guard - Forward,1981-6-29,6-7/2_01,235 lbs./106_6 kg.,6,ATL
503,Bobby Jones,Forward,1984-1-9,6-7/2_01,215 lbs./97_5  kg.,1,DEN
504,Damon Jones,Guard,1976-8-25,6-3/1_91,195 lbs./88_5  kg.,9,CLE
505,Dwayne Jones,Forward - Center,1983-6-9,6-1/ 2_11,251 lbs./113_9 kg.,2,CLE
506,Eddie Jones,Guard - Forward,1971-10-20,6-6/1_98,200 lbs./90_7  kg.,13,DAL
507,Fred Jones,Guard,1979-3-11,6-2/1_88,225 lbs./102_1 kg.,5,NYK
508,James Jones,Forward,1980-10-4,6-8/2_03,220 lbs./99_8  kg.,4,POR
509,Chris Kaman,Center,1982-4-28,7-0/2_13,265 lbs./120_2 kg.,4,LAC
510,Jason Kapono,Forward,1981-2-4,6-8/2_03,215 lbs./97_5  kg.,4,TOR
511,Coby Karl,Guard,1983-3-6,6-5/1_96,215 lbs./97_5  kg.,0,LAL
512,Jason Kidd,Guard,1973-3-23,6-4/1_93,210 lbs./95_3  kg.,13,NJN
513,Andrei Kirilenko,Forward,1981-2-18,6-9/2_06,223 lbs./101_2 kg.,6,UTA
514,Linas Kleiza,Forward,1985-1-3,6-8/2_03,245 lbs./111_1 kg.,2,DEN
515,Brevin Knight,Guard,1975-11-8,5-1/ 1_78,170 lbs./77_1  kg.,10,LAC
516,Kyle Korver,Forward,1981-3-17,6-6/1_98,211 lbs./95_7  kg.,4,PHI
517,Nenad Krstic,Forward - Center,1983-7-25,7-0/2_13,240 lbs./108_9 kg.,3,NJN
518,Raef LaFrentz,Forward,1976-5-29,6-1/ 2_11,245 lbs./111_1 kg.,9,POR
519,Acie Law,Guard,1985-1-25,6-3/1_91,195 lbs./88_5  kg.,0,ATL
520,David Lee,Forward,1983-4-29,6-9/2_06,240 lbs./108_9 kg.,2,NYK
521,Rashard Lewis,Forward,1979-8-8,6-1/ 2_08,230 lbs./104_3 kg.,9,ORL
522,Kyle Lowry,Guard,1986-3-25,6-0/1_83,175 lbs./79_4  kg.,1,MEM
523,Tyronn Lue,Guard,1977-5-3,6-0/1_83,175 lbs./79_4  kg.,9,ATL
524,Corey Maggette,Forward,1979-11-12,6-6/1_98,225 lbs./102_1 kg.,8,LAC
525,Jamaal Magloire,Center,1978-5-21,6-1/ 2_11,265 lbs./120_2 kg.,7,NJN
526,Ian Mahinmi,Center,1986-11-5,6-1/ 2_11,230 lbs./104_3 kg.,0,SAS
527,Stephon Marbury,Guard,1977-2-20,6-2/1_88,205 lbs./93_0  kg.,11,NYK
528,Shawn Marion,Forward,1978-5-7,6-7/2_01,230 lbs./104_3 kg.,8,PHX
529,Donyell Marshall,Forward,1973-5-18,6-9/2_06,245 lbs./111_1 kg.,13,CLE
530,Kenyon Martin,Forward,1977-12-30,6-9/2_06,240 lbs./108_9 kg.,7,DEN
531,Kevin Martin,Guard,1983-2-1,6-7/2_01,185 lbs./83_9  kg.,3,SAC
532,Desmond Mason,Forward - Guard,1977-10-11,6-5/1_96,222 lbs./100_7 kg.,7,MIL
533,Roger Mason,Guard,1980-9-10,6-5/1_96,212 lbs./96_2  kg.,3,WAS
534,Jason Maxiell,Forward,1983-2-18,6-7/2_01,260 lbs./117_9 kg.,2,DET
535,Rashad McCants,Guard,1984-9-25,6-4/1_93,210 lbs./95_3  kg.,2,MIN
536,Antonio McDyess,Forward,1974-9-7,6-9/2_06,245 lbs./111_1 kg.,11,DET
537,Tracy McGrady,Guard - Forward,1979-5-24,6-8/2_03,223 lbs./101_2 kg.,10,HOU
538,Dominic McGuire,Forward,1985-10-20,6-9/2_06,220 lbs./99_8  kg.,0,WAS
539,Jeff McInnis,Guard,1974-10-22,6-4/1_93,190 lbs./86_2  kg.,10,CHA
540,Chris Mihm,Center,1979-7-16,7-0/2_13,265 lbs./120_2 kg.,6,LAL
541,C.J. Miles,Guard,1987-3-18,6-6/1_98,220 lbs./99_8  kg.,2,UTA
542,Darko Milicic,Center - Forward,1985-6-20,7-0/2_13,275 lbs./124_7 kg.,4,MEM
